,Viscosity,Angular velocity, Speed,Torque,Shear Stress,Shear Rate,Temperature
224,0.03778930660733036,10.471975511965978,100.0,0.309,4.439351807479693,58.73820143895613,22.1
225,0.03766701111669175,10.471975511965978,100.0,0.308,4.42498497315128,58.73820143895613,22.1
226,0.03791160209796897,10.471975511965978,100.0,0.31,4.4537186418081065,58.73820143895613,22.1
227,0.03791160209796897,10.471975511965978,100.0,0.31,4.4537186418081065,58.73820143895613,22.1
228,0.03791160209796897,10.471975511965978,100.0,0.31,4.4537186418081065,58.73820143895613,22.1
229,0.03778930660733036,10.471975511965978,100.0,0.309,4.439351807479693,58.73820143895613,22.1
246,0.03762042235835323,10.995574287564276,105.0,0.32299999999999995,4.640487488077478,61.67511151090394,22.1
247,0.03762042235835323,10.995574287564276,105.0,0.32299999999999995,4.640487488077478,61.67511151090394,22.1
248,0.03773689425419953,10.995574287564276,105.0,0.324,4.6548543224058925,61.67511151090394,22.1
249,0.03773689425419953,10.995574287564276,105.0,0.324,4.6548543224058925,61.67511151090394,22.1
250,0.03773689425419953,10.995574287564276,105.0,0.324,4.6548543224058925,61.67511151090394,22.1
251,0.03773689425419953,10.995574287564276,105.0,0.324,4.6548543224058925,61.67511151090394,22.1
252,0.03762042235835323,10.995574287564276,105.0,0.32299999999999995,4.640487488077478,61.67511151090394,22.1
253,0.03762042235835323,10.995574287564276,105.0,0.32299999999999995,4.640487488077478,61.67511151090394,22.1
270,0.03730012464477593,12.56637061435917,120.0,0.366,5.258261364199248,70.48584172674734,22.1
271,0.037402037553641444,12.56637061435917,120.0,0.36700000000000005,5.272628198527662,70.48584172674734,22.1
272,0.03730012464477593,12.56637061435917,120.0,0.366,5.258261364199248,70.48584172674734,22.1
273,0.03730012464477593,12.56637061435917,120.0,0.366,5.258261364199248,70.48584172674734,22.1
290,0.037051004200882455,14.137166941154069,135.0,0.409,5.876035240321017,79.29657194259077,22.1
291,0.037051004200882455,14.137166941154069,135.0,0.409,5.876035240321017,79.29657194259077,22.1
292,0.037051004200882455,14.137166941154069,135.0,0.409,5.876035240321017,79.29657194259077,22.1
293,0.037051004200882455,14.137166941154069,135.0,0.409,5.876035240321017,79.29657194259077,22.1
294,0.037051004200882455,14.137166941154069,135.0,0.409,5.876035240321017,79.29657194259077,22.1
295,0.037051004200882455,14.137166941154069,135.0,0.409,5.876035240321017,79.29657194259077,22.1
312,0.03695070895723704,14.660765716752367,140.0,0.423,6.077170920918803,82.23348201453858,22.1
313,0.03703806287912176,14.660765716752367,140.0,0.424,6.0915377552472165,82.23348201453858,22.1
314,0.03695070895723704,14.660765716752367,140.0,0.423,6.077170920918803,82.23348201453858,22.1
331,0.03677017751867528,15.707963267948966,150.0,0.451,6.479442282114375,88.10730215843421,22.1
332,0.03677017751867528,15.707963267948966,150.0,0.451,6.479442282114375,88.10730215843421,22.1
333,0.03677017751867528,15.707963267948966,150.0,0.451,6.479442282114375,88.10730215843421,22.1
366,0.03621305361687716,18.84955592153876,180.0,0.5329999999999999,7.657522697044259,105.72876259012104,22.1
367,0.03621305361687716,18.84955592153876,180.0,0.5329999999999999,7.657522697044259,105.72876259012104,22.1
368,0.03621305361687716,18.84955592153876,180.0,0.5329999999999999,7.657522697044259,105.72876259012104,22.1
369,0.03628099555612085,18.84955592153876,180.0,0.534,7.671889531372674,105.72876259012104,22.1
370,0.03621305361687716,18.84955592153876,180.0,0.5329999999999999,7.657522697044259,105.72876259012104,22.1
371,0.03621305361687716,18.84955592153876,180.0,0.5329999999999999,7.657522697044259,105.72876259012104,22.1
388,0.036016021993070524,20.943951023931955,200.0,0.589,8.462065419435403,117.47640287791226,22.1
