,Viscosity,Angular velocity, Speed,Torque,Shear Stress,Shear Rate,Temperature
237,0.0384357256292773,10.995574287564276,105.0,0.33,4.741055328376372,61.67511151090394,22.1
238,0.038319253733430994,10.995574287564276,105.0,0.32899999999999996,4.726688494047957,61.67511151090394,22.1
255,0.038115427915699995,12.56637061435917,120.0,0.374,5.3731960388265545,70.48584172674734,22.1
256,0.03801351500683449,12.56637061435917,120.0,0.373,5.358829204498141,70.48584172674734,22.1
257,0.038115427915699995,12.56637061435917,120.0,0.374,5.3731960388265545,70.48584172674734,22.1
258,0.03801351500683449,12.56637061435917,120.0,0.373,5.358829204498141,70.48584172674734,22.1
259,0.038115427915699995,12.56637061435917,120.0,0.374,5.3731960388265545,70.48584172674734,22.1
276,0.038552197525123594,10.995574287564276,105.0,0.331,4.755422162704785,61.67511151090394,22.0
277,0.0384357256292773,10.995574287564276,105.0,0.33,4.741055328376372,61.67511151090394,22.0
278,0.038552197525123594,10.995574287564276,105.0,0.331,4.755422162704785,61.67511151090394,22.0
279,0.038319253733430994,10.995574287564276,105.0,0.32899999999999996,4.726688494047957,61.67511151090394,22.0
280,0.0384357256292773,10.995574287564276,105.0,0.33,4.741055328376372,61.67511151090394,22.0
281,0.038319253733430994,10.995574287564276,105.0,0.32899999999999996,4.726688494047957,61.67511151090394,22.0
282,0.0384357256292773,10.995574287564276,105.0,0.33,4.741055328376372,61.67511151090394,22.0
311,0.037685128967156735,14.137166941154069,135.0,0.41600000000000004,5.976603080619911,79.29657194259077,22.0
312,0.037685128967156735,14.137166941154069,135.0,0.41600000000000004,5.976603080619911,79.29657194259077,22.0
313,0.037685128967156735,14.137166941154069,135.0,0.41600000000000004,5.976603080619911,79.29657194259077,22.0
314,0.037685128967156735,14.137166941154069,135.0,0.41600000000000004,5.976603080619911,79.29657194259077,22.0
331,0.03764954033231481,14.660765716752367,140.0,0.431,6.192105595546109,82.23348201453858,22.0
332,0.03756218641043008,14.660765716752367,140.0,0.43,6.177738761217696,82.23348201453858,22.0
333,0.03756218641043008,14.660765716752367,140.0,0.43,6.177738761217696,82.23348201453858,22.0
334,0.03756218641043008,14.660765716752367,140.0,0.43,6.177738761217696,82.23348201453858,22.0
351,0.03734088980832211,15.707963267948966,150.0,0.45799999999999996,6.580010122413266,88.10730215843421,22.0
352,0.03734088980832211,15.707963267948966,150.0,0.45799999999999996,6.580010122413266,88.10730215843421,22.0
353,0.03734088980832211,15.707963267948966,150.0,0.45799999999999996,6.580010122413266,88.10730215843421,22.0
370,0.03714725528147766,16.755160819145562,160.0,0.486,6.982281483608838,93.98112230232981,22.0
371,0.03714725528147766,16.755160819145562,160.0,0.486,6.982281483608838,93.98112230232981,22.0
372,0.03707082059982853,16.755160819145562,160.0,0.485,6.9679146492804245,93.98112230232981,22.0
389,0.03675658913082655,18.84955592153876,180.0,0.541,7.772457371671567,105.72876259012104,22.0
